Name IP AVI 
EXD61 10.110.22.101 10.111.218.103 
EXD65 10.110.21.185 10.111.218.83 
EXD66 10.110.21.187 10.111.218.170 
EXD67 10.110.21.184 10.111.220.20 
EXD68 10.110.21.15 10.111.220.17 
EXD70 10.110.22.84 10.111.219.188 
EXD80 10.110.21.233 10.111.218.162 
EXD81 10.110.21.243 10.111.218.179 
EXD82 10.110.21.244 10.111.219.10 
EX266 10.110.22.108 10.111.219.178 
EX_TE362 10.110.22.148 10.111.219.231 
SHE32 10.110.22.10 10.111.219.48 
SHE33 10.110.21.230 10.111.219.48 
SHE35 10.110.21.232 10.111.218.151 
GR005 10.110.22.172 10.111.219.253 
GR124NPE 10.110.21.200 10.111.218.177 
GR127NPE 10.110.21.210 10.111.218.202 
GR128NPE 10.110.21.199 10.111.218.176 
GR4 10.110.22.43 10.111.219.72 
GR21 10.110.22.103 10.111.219.173 
GRD131 10.110.21.8 10.111.218.36 
GRD132 10.110.21.9 10.111.218.37 
GRD133_ESC 10.110.21.160 10.111.218.68 
GRD136 10.110.21.10 10.111.218.38 
GRD152 10.110.21.165 10.111.218.181 
GRD153 10.110.21.164 10.111.218.169 
GRD154 10.110.21.167 10.111.218.192 
GRD155 10.110.21.36 10.111.218.82 
GRD156 10.110.21.163 10.111.218.134 
GRD157 10.110.21.162 10.111.218.101 
GRD163 10.110.21.168 10.111.218.214 
GRD164 10.110.21.166 10.111.218.185 
GRD165 10.110.21.169 10.111.219.6 
GRD166 10.110.22.173 10.111.219.254 
GRD167 10.110.22.174 10.111.219.146 
GRD168 10.110.22.175 10.111.218.78 
GRD999_ESC 10.110.22.111 10.111.219.179 
RD393 10.110.22.92 10.111.219.169 
RD394 10.110.22.87 10.111.219.176 
RD395 10.110.22.89 10.111.219.166 
RD396 10.110.22.90 10.111.220.3 
RD397 10.110.22.91 10.111.219.168 
RD398 10.110.22.107 10.111.219.177 
RD399 10.110.22.88 10.111.219.165 
RD400 10.110.22.98 10.111.219.170 
RD600 10.110.22.139 10.111.219.222 
RD601 10.110.22.140 10.111.219.223 
RD602 10.110.22.141 10.111.219.224 
RD603 10.110.22.142 10.111.220.1 
RD604 10.110.22.143 10.111.219.226 
RD605 10.110.22.144 10.111.219.227 
RD606 10.110.22.145 10.111.219.228 
RD607 10.110.22.146 10.111.219.229 
RD663 10.110.22.138 10.111.219.231 
RD664 10.110.22.129 10.111.219.212 
RD665 10.110.22.130 10.111.219.213 
RD666 10.110.22.131 10.111.219.214 
RD667 10.110.22.132 10.111.220.6 
RD668 10.110.22.133 10.111.219.216 
RD669 10.110.22.134 10.111.219.217 
RD767 10.110.22.135 10.111.219.218 
RD968 10.110.22.154 10.111.219.237 
RD990 10.110.22.155 10.111.219.238 
RD991 10.110.22.156 10.111.219.239 
RD1201 10.110.22.153 10.111.219.236 
EL18 10.110.21.198 10.111.218.173 
EL19 10.110.21.201 10.111.218.180 
EL20 10.110.21.229 10.111.218.165 
EL21 10.110.22.82 10.111.219.187 
LD02 10.110.21.116 10.111.218.128 
LDW0208 10.110.21.120 10.111.218.168 
LDW0209 10.110.21.123 10.111.219.20 
LDW0210 10.110.21.126 10.111.219.82 
LDW144 10.110.21.125 10.111.219.80 
LDW145 10.110.22.68 10.111.219.151 
LDW254 10.110.22.163 10.111.219.244 
LDW255 NBA 10.110.21.124 
RB001 10.110.22.164 10.111.219.245 
RB002 10.110.22.165 10.111.219.246 
TH6 10.110.21.37 10.111.218.112 
TH7 10.110.22.80 10.111.219.185 
WL107 10.110.22.104 10.111.219.179 
L5 10.110.21.114 10.111.218.87 
L6 10.110.21.127 10.111.219.91 
L8 10.110.21.1 10.111.218.29 
L9 10.110.21.2 10.111.218.30 
L10 10.110.22.168 10.111.219.250 
L11 10.110.22.169 10.111.219.251 
L12 10.110.21.117 10.111.218.129 
L13 10.110.21.250 10.111.219.139 
L70 10.110.21.115 10.111.218.105 
ST04 10.110.21.202 10.111.218.187 
ST14 10.110.22.180 10.111.219.233 
ST074 10.110.22.14 10.111.219.22 
ST101NPE 10.110.21.209 10.111.218.201 
ST299 10.110.22.13 10.111.218.194 
ST713 10.110.22.41 10.111.219.115 
ST85NPE 10.110.21.193 10.111.218.126 
SV2 10.110.22.42 10.111.219.64 
Cable_2 10.110.22.55 10.111.218.111 
Blast 7 10.110.22.9 
Blast 9 10.110.22.100 
DN592 10.110.21.253 10.111.218.237 
DN593 10.110.21.254 10.111.218.238 
DN595 10.110.22.1 10.111.218.239 
DN630 10.110.22.147 10.111.213.230 
JJ21BQ 10.110.22.60 10.111.218.87 
LL3 10.110.21.119 10.111.218.156 
LL7 10.110.21.118 10.111.218.138 
LMP51 10.110.22.51 10.111.219.86 
MV11_22 10.110.21.235 10.111.219.89 
MV12_18 10.110.21.212 10.111.218.219 
MV12_20 10.110.21.236 10.111.219.56 
MV13_5 10.110.22.52 10.111.218.236 
MV13-3 10.110.21.249 10.111.219.142 
MV13_4 10.110.22.11 10.111.218.235 
MV17_13 10.110.21.214 10.111.218.223 
MV17_14 10.110.21.216 10.111.218.229 
MV17_15 10.110.22.94 10.111.219.192 
MV17_16 10.110.21.237 10.111.218.147 
MV17_21 10.110.21.238 10.111.219.61 
MV17_22 10.110.21.239 10.111.218.106 
MV17_24 10.110.22.177 10.111.218.154 
MV17_27 10.110.21.240 10.111.219.22 
MV17_30 10.110.21.218 10.111.219.64 
MV17_32 10.110.21.219 10.111.219.72 
MV17_34 10.110.22.5 10.111.219.47 
MV17_35 10.110.22.50 10.111.218.221 
MV17_36 10.110.22.167 10.111.219.248 
MV18_12 10.110.21.241 10.111.219.67 
MV18_14 10.110.21.247 10.111.219.137 
MV21_26 10.110.22.166 10.111.219.247 
MV27_28 10.110.21.248 10.111.219.138 
PT5 10.110.21.205 10.111.218.193 
PT6 10.110.21.207 10.111.218.207 
PT7 10.110.21.206 10.111.218.204 
PT8 10.110.21.208 10.111.219.13 
PM1 10.110.22.200 10.111.220.14 
SC17CPH 10.110.22.62 10.111.219.149 
SC18CPH 10.110.22.63 10.111.219.147 
SC25CPH 10.110.21.117 0 
SC26CPH 10.110.22.4 10.111.218.65 
SW4 10.110.21.122 10.111.218.212 
TRW141 10.110.21.225 10.111.219.79 
TRW160 10.110.21.226 10.111.219.81 
TRW161 10.110.21.227 10.111.219.86 
TRW162 10.110.21.228 10.111.219.90 
TRW170 10.110.21.221 10.111.218.86 
TRW171 10.110.21.211 10.111.218.216 
TRW172 10.110.21.222 10.111.218.222 
TRW173 10.110.21.223 10.111.219.3 
TRW174 10.110.21.224 10.111.219.71 
TRW175 10.110.21.242 10.111.219.145 
TRW176 10.110.21.245 10.111.218.79 
TRW179 10.110.22.159 10.111.219.242 
WT107 NPE 10.110.21.180 
WT108 NPE 10.110.21.182 
WT163 NPE 10.110.21.179 
WT175NPE 10.110.21.178 10.111.218.221 
WT22 10.110.21.177 10.111.218.218 
WT23 10.110.21.181 10.111.219.5 
WT24 10.110.21.172 10.111.218.111 
WT28 10.110.21.174 10.111.218.136 
WT29 10.110.21.183 10.111.219.11 
WT30 10.110.21.11 10.111.218.39 
WT31 10.110.21.12 10.111.218.40 
WT32 10.110.21.170 10.111.218.80 
WT33 10.110.21.171 10.111.218.81 
WT34 10.110.21.234 10.111.218.66 
WT35 10.110.21.175 10.111.218.166 
WT36 10.110.21.173 10.111.218.125 
WT37 10.110.22.178 10.111.218.195 
WT38 10.110.22.179 10.111.218.217 
WT62 10.110.22.44 10.111.219.65 
WT65 10.110.22.46 10.111.219.84 
WT66 10.110.22.47 10.111.219.90 
WT67 10.110.22.48 10.111.219.25 
WT68 10.110.22.54 10.111.218.105 
AWT9 10.110.22.8 10.111.218.241 
BUS114 10.110.22.182 10.111.218.79 
BUS127 10.110.22.181 10.111.218.250 
###### BUMA ###### 
RD393 10.110.22.92 10.111.219.171 
RD394 10.110.22.87 10.111.219.176 
RD395 10.110.22.89 10.111.219.166 
RD396 10.110.22.90 10.111.220.3 
RD397 10.110.22.91 10.111.219.168 
RD398 10.110.22.107 10.111.219.177 
RD399 10.110.22.88 10.111.219.172 
RD400 10.110.22.98 10.111.219.170 
RD600 10.110.22.139 10.111.219.222 
RD601 10.110.22.140 10.111.219.223 
RD602 10.110.22.141 10.111.219.224 
RD603 10.110.22.142 10.111.220.1 
RD604 10.110.22.143 10.111.219.226 
RD605 10.110.22.144 10.11.219.227 
RD606 10.110.22.145 10.111.219.228 
RD607 10.110.22.146 10.111.219.229 
RD663 10.110.22.138 10.111.219.221 
RD664 10.110.22.129 10.111.219.212 
RD665 10.110.22.130 10.111.219.213 
RD666 10.110.22.131 10.111.219.214 
RD667 10.110.22.132 10.111.220.6 
RD668 10.110.22.133 10.111.219.216 
RD669 10.110.22.134 10.111.219.217 
RD767 10.110.22.135 10.111.219.218 
RD968 10.110.22.154 10.111.219.237 
RD990 10.110.22.155 10.111.219.238 
RD991 10.110.22.156 10.111.219.239 
RD1201 10.110.22.153 10.111.219.236 
DZ003 10.110.22.150 10.111.219.233 
DZ023 10.110.22.137 10.111.219.220 
DZ0289 10.110.22.149 10.111.219.232 
DZ782 10.110.22.127 10.111.219.210 
DZ978 10.110.22.102 10.111.219.165 
DZ979 10.110.22.99 10.111.219.169 
GR005 10.110.22.172 10.111.219.253 
GR021 10.110.22.103 10.111.219.173 
GR999_ESC 10.110.22.111 10.111.219.179 
EX69 10.110.22.83 10.111.219.189 
EX248 10.110.22.147 10.111.219.230 
EX259 10.110.22.136 10.111.219.219 
EX266 10.110.22.108 10.111.219.178 
EX062 10.110.22.148 10.111.219.231 
WL107 10.110.22.104 10.111.219.174 
ST344 10.110.22.157 10.111.219.240 
WT165 10.110.21.176 10.111.218.186 
WT0077 10.110.22.128 10.111.219.211 
WT313 10.110.22.171 10.111.219.249 
B4-32 10.110.22.152 10.111.219.235 
TT685 10.110.22.151 10.111.219.234 
###### AHG ###### 
AHG1 10.110.21.16 10.111.218.45 
AHG2 10.110.21.17 10.111.218.46 
AHG3 10.110.21.18 10.111.218.47 
AHG4 10.110.21.19 10.111.220.12 
AHG5 10.110.21.20 10.111.218.49 
AHG6 10.110.21.21 10.111.218.50 
AHG7 10.110.21.22 10.111.218.51 
AHG8 10.110.21.23 10.111.218.52 
AHG9 10.110.21.24 10.111.218.53 
AHG10 10.110.21.25 10.111.218.54 
AHG11 10.110.21.26 10.111.218.55 
AHG12 10.110.21.27 10.111.218.56 
AHG13 10.110.21.28 10.111.218.57 
AHG14 10.110.21.29 10.111.218.58 
AHG15 10.110.21.30 10.111.218.59 
AHG17 10.110.21.32 10.111.218.61 
AHG18 10.110.21.33 10.111.218.62 
AHG19 10.110.21.34 10.111.218.63 
AHG20 10.110.21.35 10.111.218.64 
AHG21 10.110.21.39 10.111.218.69 
AHG22 10.110.21.40 10.111.218.70 
AHG23 10.110.21.41 10.111.218.71 
AHG24 10.110.21.42 10.111.218.72 
AHG25 10.110.21.43 10.111.218.73 
AHG26 10.110.21.44 10.111.218.74 
AHG27 10.110.21.45 10.111.218.75 
AHG28 10.110.21.46 10.111.218.76 
AHG29 10.110.21.47 10.111.218.77 
AHG30 10.110.21.48 10.111.218.90 
AHG32 10.110.21.50 10.111.218.92 
AHG33 10.110.21.51 10.111.218.93 
AHG37 10.110.21.55 10.111.218.97 
AHG38 10.110.21.56 10.111.218.98 
AHG41 10.110.21.59 10.111.218.115 
AHG42 10.110.21.60 10.111.218.116 
AHG43 10.110.21.61 10.111.218.117 
AHG44 10.110.21.62 10.111.218.118 
AHG45 10.110.21.63 10.111.218.119 
AHG46 10.110.21.64 10.111.218.120 
AHG48 10.110.21.66 10.111.218.122 
AHG49 10.110.21.67 10.111.218.123 
AHG50 10.110.21.68 10.111.218.140 
AHG52 10.110.21.70 10.111.218.142 
AHG54 10.110.21.72 10.111.218.244 
AHG55 10.110.21.73 10.111.218.245 
AHG56 10.110.21.74 10.111.218.246 
AHG57 10.110.21.75 10.111.218.247 
AHG58 10.110.21.76 10.111.218.248 
AHG59 10.110.21.77 10.111.218.249 
AHG60 10.110.21.78 10.111.218.250 
AHG61 10.110.21.79 10.111.218.251 
AHG62 10.110.21.80 10.111.218.252 
AHG63 10.110.21.81 10.111.218.253 
AHG64 10.110.21.82 10.111.218.254 
AHG65 10.110.21.83 10.111.218.255 
AHG66 10.110.21.84 10.111.219.0 
AHG67 10.110.21.85 10.111.219.1 
AHG68 10.110.21.86 10.111.219.2 
AHG69 10.110.21.87 10.111.219.27 
AHG70 10.110.21.88 10.111.219.28 
AHG71 10.110.21.89 10.111.219.29 
AHG72 10.110.21.90 10.111.219.30 
AHG73 10.110.21.91 10.111.219.31 
AHG74 10.110.21.92 10.111.219.32 
AHG75 10.110.21.93 10.111.219.33 
AHG76 10.110.21.94 10.111.219.34 
AHG77 10.110.21.95 10.111.219.35 
AHG78 10.110.21.96 10.111.219.36 
AHG80 10.110.21.98 10.111.219.38 
AHG81 10.110.21.99 10.111.219.39 
AHG82 10.110.21.100 10.111.219.40 
AHG83 10.110.21.101 10.111.219.41 
AHG84 10.110.21.102 10.111.219.42 
AHG85 10.110.21.103 10.111.219.43 
AHG86 10.110.21.104 10.111.219.44 
AHG87 10.110.21.105 10.111.219.45 
AHG88 10.110.21.106 10.111.219.46 
AHG89 10.110.21.107 10.111.219.47 
AHG90 10.110.21.108 10.111.219.48 
AHG91 10.110.21.109 10.111.219.49 
AHG92 10.110.21.110 10.111.219.50 
AHG93 10.110.21.111 10.111.219.143 
AHG94 10.110.21.112 10.111.219.52 
AHG95 10.110.21.113 10.111.219.53 
AHG96 10.110.21.110 10.111.219.50 
AHG97 10.110.22.49 10.111.219.51 
AHG98 10.110.22.53 10.111.218191 
AHG99 10.110.22.15 10.111.218.197 
AHG101 10.110.22.17 10.111.219.66 
AHG103 10.110.22.19 10.111.219.79 
AHG104 10.110.22.20 10.111.218.220 
AHG105 10.110.22.21 10.111.218.203 
AHG106 10.110.22.22 10.111.218.131 
AHG107 10.110.22.23 10.111.218.144 
AHG108 10.110.22.24 10.110.218.159 
AHG109 10.110.22.25 10.111.218.167 
AHG110 10.110.22.26 10.111.218.188 
AHG111 10.110.22.27 10.111.219.19 
AHG112 10.110.22.28 10.111.219.23 
AHG113 10.110.22.29 10.111.219.55 
AHG114 10.110.22.30 10.111.219.59 
AHG115 10.110.22.31 10.110.219.62 
AHG116 10.110.22.32 10.111.219.8 
AHG117 10.110.22.33 10.111.218.224 
AHG118 10.110.22.34 10.111.218.215 
AHG119 10.110.22.35 10.111.218.211 
AHG120 10.110.22.36 10.111.218.215 
AHG121 10.110.22.37 10.111.218.29 
AHG122 10.110.22.38 10.111.219.91 
AHG123 10.110.22.39 10.111.219.92 
AHG124 10.110.22.40 10.111.219.71 
AHG125 10.110.22.59 10.111.219.96 
AHG126 10.110.21.71 10.111.218.143 
AHG127 10.110.22.18 10.111.218.226 
AHG128 10.110.22.64 10.111.219.148 
AHG129 10.110.21.69 10.111.218.141 
AHG130 10.110.21.80 10.111.218.252 
AHG131 10.110.21.53 10.111.218.95 
AHG132 10.110.21.51 10.111.218.93 
AHG133 10.110.21.49 10.111.218.91 
AHG134 10.110.21.47 10.111.218.77 
AHG136 10.110.21.46 10.111.218.76 
AHG137 10.110.21.35 10.111.218.64 
AHG141 10.110.22.16 10.111.219.114 
AHG142 10.110.21.97 10.111.219.37 
AHG144 10.110.22.86 10.111.219.191 
AHG146 10.110.21.52 10.111.218.94 
AHG147 10.110.21.54 10.111.218.96 
AHG148 10.110.22.27 10.111.219.19 
AHG150 10.110.21.65 10.111.218.121 
AHG151 10.110.21.90 10.111.219.30 
AHG152 10.110.21.58 10.111.218.114 
AHG159 10.110.21.25 10.111.218.54 
AHG160 10.110.22.66 10.111.219.152 
AHG161 10.110.22.67 10.111.219.153 
AHG162 10.110.22.69 10.111.219.154 
AHG163 10.110.22.70 10.111.219.155 
AHG164 10.110.22.71 10.111.219.156 
AHG165 10.110.22.72 10.111.219.157 
AHG166 10.110.22.73 10.111.219.158 
AHG167 10.110.22.74 10.111.219.159 
AHG168 10.110.22.75 10.111.220.14 
AHG169 10.110.22.76 10.111.219.161 
AHG170 10.110.22.77 10.111.219.162 
AHG171 10.110.22.78 10.111.219.163 
AHG173 10.110.21.70 10.111.218.142 
AHG177 10.110.21.81 10.111.218.253 
AHG178 10.110.21.78 10.111.218.250 
AHG179 10.110.21.24 10.111.218.53 
AHG181 10.110.21.33 10.111.218.62 
AHG182 10.110.21.18 10.111.218.47 
AHG183 10.110.22.85 10.111.219.190 
AHG184 10.110.21.105 10.111.218.182 
AHG185 10.110.21.56 10.111.218.98 
AHG186 10.110.22.20 10.111.218.220 
AHG187 10.110.21.55 10.111.218.97 
AHG188 10.110.21.57 10.111.218.99 
AHG190 10.110.22.97 10.111.219.37 
AHG191 10.110.21.67 10.111.218.123 
AHG192 10.110.21.29 10.111.218.58 
AHG193 10.110.21.30 10.111.218.60 
AHG195 10.110.21.31 10.111.218.60 
AHG196 10.110.21.93 10.111.219.33 
AHG197 10.110.21.64 10.111.218.118 
AHG198 10.110.21.61 10.111.218.117 
AHG199 10.110.21.59 10.111.218.115 
AHG200 10.110.21.62 10.111.218.118 
AHG203 10.110.22.58 10.111.218.213 
AHG204 10.110.21.31 10.111.218.60 
AHG224 10.110.22.117 10.111.219.198 
AHG225 10.110.22.116 10.111.219.197 
AHG226 10.110.22.114 10.111.219.195 
AHG227 10.110.22.115 10.111.219.196 
AHG228 10.110.22.65 10.111.219.150 
AHG231 10.110.22.105 10.111.219.180 
AHG232 10.110.22.106 10.111.220.10 
AHG233 10.110.22.109 10.111.219.182 
AHG234 10.110.22.110 10.111.219.183 
AHG235 10.110.22.112 10.111.219.184 
AHG236 10.110.22.113 10.111.219.194 
AHG237 10.110.22.121 10.111.219.202 
AHG238 10.110.22.120 10.111.219.201 
AHG239 10.110.22.119 10.111.219.200 
AHG240 10.110.22.118 10.111.219.199 
AHG243 10.110.22.176 10.111.218.150 
AHG244 10.110.22.79 10.111.220.15 
AHG245 10.110.22.160 10.111.219.164 
AHG246 10.110.22.161 10.111.219.209 
AHG247 10.110.22.170 10.111.219.252 
AHG249 10.110.22.187 10.111.220.1 
AHG250 10.110.22.196 10.111.220.10 
AHG251 10.110.22.197 10.110.220.11 
AHG252 10.110.22.198 10.110.220.12 
AHG253 10.110.22.199 10.110.220.13 
AHG263 10.110.22.195 10.111.220.9 
#   
###### ORIGINAL LIST 
#   
AHG1 10.110.21.16 10.111.218.45 
AHG101 10.110.22.17 10.111.218.182 
AHG102 10.110.22.18 10.111.218.226 
AHG103 10.110.22.19 10.111.219.79 
AHG105 10.110.22.21 unknown 
AHG106 10.110.22.22 10.111.218.131 
AHG107 10.110.22.23 unknown 
AHG108 10.110.22.24 10.111.218.159 
AHG109 10.110.22.25 10.111.218.167 
AHG11 10.110.21.26 10.111.218.55 
AHG110 10.110.22.26 10.111.218.188 
AHG111 10.110.22.27 10.111.219.19 
AHG112 10.110.22.28 10.111.219.23 
AHG113 10.110.22.29 10.111.219.55 
AHG114 10.110.22.30 10.111.219.59 
AHG115 10.110.22.31 10.111.219.62 
AHG116 10.110.22.32 10.111.219.8 
AHG117 10.110.22.33 10.111.218.224 
AHG118 10.110.22.34 10.111.218.215 
AHG119 10.110.22.35 10.111.218.211 
AHG12 10.110.21.27 10.111.218.56 
AHG120 10.110.22.36 10.111.218.41 
AHG121 10.110.22.37 10.111.218.29 
AHG122 10.110.22.38 10.111.219.91 
AHG123 10.110.22.39 10.111.219.92 
AHG124 10.110.22.40 10.111.219.71 
AHG125 10.110.22.59 10.111.219.96 
AHG126 10.110.21.71 10.111.218.143 
AHG128 10.110.22.64 10.111.219.148 
AHG129 10.110.21.69 10.111.218.141 
AHG13 10.110.21.28 10.111.218.57 
AHG131 10.110.21.53 10.111.218.95 
AHG132 10.110.21.51 10.111.218.93 
AHG133 10.110.21.49 10.111.218.91 
AHG134 10.110.21.47 10.111.218.77 
AHG135 10.110.21.85 10.111.219.1 
AHG14 10.110.21.29 10.111.218.58 
AHG141 10.110.22.16 unknown 
AHG142 10.110.21.97 unknown 
AHG144 10.110.22.86 10.111.219.191 
AHG146 10.110.21.52 10.111.218.94 
AHG147 10.110.21.54 10.111.218.96 
AHG15 10.110.21.30 10.111.218.59 
AHG150 10.110.21.65 10.111.218.121 
AHG151 10.110.21.90 10.111.219.30 
AHG152 10.110.21.58 10.111.218.114 
AHG159 10.110.21.25 10.111.218.54 
AHG160 10.110.22.66 10.111.219.152 
AHG161 10.110.22.67 unknown 
AHG162 10.110.22.69 10.111.219.154 
AHG163 10.110.22.70 10.111.219.155 
AHG164 10.110.22.71 10.111.219.156 
AHG165 10.110.22.72 10.111.219.157 
AHG166 10.110.22.73 10.111.219.158 
AHG167 10.110.22.74 10.111.219.159 
